code,companyName,countryCode
00193E,"Adb Broadband Italia",IT
122511,"Elitegroup Computer Systems Co, Ltd",TW
40D855,"Yuyama Mfg Co, Ltd",JP
70B3D5,"AeroVision Avionics, Inc",TW
C0A8F0,"Adamson Systems Engineering",CA
E4434B,"Dell Inc",US
0C73EB,"Deltapath, Inc",US
0,"Accu-Sort Systems Inc",US
50CD22,"Avaya Inc",US
38A28C,"Shenzhen RF-Link Tech Co, Ltd",CN
0050C2,OpVista,US
001DC9,"GainSpan Corp",US
90D74F,Bookeen,FR
1065CF,Iqsim,FR
3C39E7,"Zone Controls AB",SE
A4B805,"Apple, Inc",US
40F21C,"Dasan Zhone Solutions",US
000FAD,"Fmn communications GmbH",DE
0050C2,"RadioMobile Inc",US
88CEFA,"Huawei Tech Co, Ltd",CN
B0C5CA,Private,
144FD7,"Ieee Registration Authority",US
7C7673,"Enmas GmbH",DE
98349D,"Krauss Maffei Tech GmbH",DE
C8F650,"Apple, Inc",US
E04B45,"Hi-P Electronics Pte Ltd",SG
64DF10,"JingLue Semiconductor(SH) Ltd",CN
5C857E,"Nautech Electronics Ltd",NZ
A80C63,"Huawei Tech Co, Ltd",CN
"0.0149","Landings Tech Corp",US
000AE5,"ScottCare Corp",US
000B30,"Beijing Gongye Science & Tech Co, Ltd",CN
000D85,"Tapwave, Inc",US
0013AD,"Sendo Ltd",GB
0019A8,"WiQuest Communications",US
0050C2,Honeywell,US
C80D32,"Holoplot GmbH",DE
80025,"Control Data",US
"0.0100","Redes de Telefonía Móvil S.A.",ES
3423BA,"Samsung Electro-Mechanics(Thailand)",US
DC7137,"zte Corp",CN
00159B,"Nortel Networks",CA
04F8C2,"Flaircomm Microelectronics, Inc",CN
301F9A,"YiSheng Tech Co, Ltd",CN
"0.0025","Broadframe Corp",US
8CCF5C,"Befega GmbH",DE
40D855,"Thirdwayv Inc",US
28D436,"Jiangsu dewosi electric Co, Ltd",CN
7C96D2,"Fihonest communication Co, Ltd",CN
00D0B7,"Intel Corp",US
ACBC32,"Apple, Inc",US
6C2B59,"Dell Inc",US
0005A7,"Hyperchip Inc",CA
000F14,"Mindray Co, Ltd",CN
"0.0162","Daintree Networks Pty",AU
40F201,"Sagemcom Broadband Sas",FR
B4F949,"optilink networks pvt Ltd",IN
"0.0049","Tripp Lite",US
0050C2,Legerity,US
121809,Cresyn,KR
"0.0175","Meteocontrol GmbH",DE
240BB1,"Kostal Industrie Elektrik GmbH",DE
34F0CA,"Shenzhen Linghangyuan Digital Tech Co, Ltd",CN
70B3D5,"RedWave Labs Ltd",GB
120859,"ShenZhen Unitone Electronics Co, Ltd",CN
70B3D5,"Altron, a.s.",CZ
88C08B,"Apple, Inc",US
00A064,"Kvb/Analect",US
121023,"Network Equipment Tech",US
2082C0,"Xiaomi Communications Co Ltd",CN
70B3D5,"Tempris GmbH",DE
88E9A4,"Hewlett Packard Enterprise",US
0050C2,"ProMik GmbH",DE
D85D4C,"TP-Link Tech Co, Ltd",CN
E83EB6,Rim,CA
0050C2,"Samsung Electronics Co, Ltd(Led Division)",KR
D07AB5,"Huawei Tech Co, Ltd",CN
70B3D5,"Tibit Communications",US
000C7E,"Tellium Inc",US
00263F,"Lios Tech GmbH",DE
0050C2,"FarSite Communications Ltd",GB
001BC5,"Analytical Instrument Systems, Inc",US
00D006,"Cisco Systems, Inc",US
0050C2,"Penny & Giles Aerospace Ltd",GB
C464E3,"Texas Instruments",US
70B3D5,"plc-tec AG",CH
000D2C,"Net2Edge Ltd",GB
C49313,"100fio networks Tech Llc",US
0050C2,"Deuta Werke GmbH",DE
2C18AE,"Trend Electronics Co, Ltd",TW
0C7512,"Shenzhen Kunlun TongTai Tech Co, Ltd",CN
8CC5B4,"Sagemcom Broadband Sas",FR
0050C2,"SysAware S.A.R.L.",FR
0050C2,Unidata,UA
0054AF,"Continental Automotive Systems Inc",US
DC37D2,"Hunan Hkt Electronic Tech Co, Ltd",CN
08EE8B,"Samsung Electronics Co, Ltd",KR
243A82,Irts,FR
70B3D5,"Cominfo, Inc",CZ
70B3D5,"Gti Tech Inc",US
0090BE,"Ibc/Integrated Business Computers",US
00155A,"Dainippon Pharmaceutical Co, Ltd",JP
50008C,"Hong Kong Telecommunications (Hkt) Ltd",HK
C4393A,"Smc Networks, Inc",US
B01F81,"Comota Co, Ltd",JP
E41A2C,"Zpe Systems, Inc",US
00BF77,"Cisco Systems, Inc",US
0003B3,"IA Link Systems Co, Ltd",TW
0091D6,"Crystal Group, Inc",US
0050C2,"Critical Link Llc",US
0050C2,"Chauvin Arnoux",FR
408BF6,"Shenzhen Tcl New Tech Co, Ltd",CN
40D855,"insensiv GmbH",DE
0000F8,"Digital Equipment Corp",US
000B5E,"Audio Engineering Society Inc",US
70B3D5,"Chengdu Lingya Tech Co, Ltd",CN
3CDF1E,"Cisco Systems, Inc",US
844BF5,"Hon Hai Precision Ind. Co, Ltd",CN
10CC1B,"Liverock Tech, Inc",JP
70B3D5,"OverSpeed Sarl",FR
0007BE,"DataLogic SpA",IT
0050C2,"Emac, Inc",US
70B3D5,"Siemens Healthcare Diagnostics",US
70B3D5,"AeroVision Avionics, Inc",TW
FCFEC2,"Invensys Controls UK Ltd",GB
80C7C5,"Fiberhome Telecommunication Tech Co, Ltd",CN
0001CD,ARtem,DE
A03E6B,"Shenzhen Nufilo Inc",CN
"0.0037","Deltron Tech, Inc",TW
0016A3,"Ingeteam Transmission&Distribution, S.A.",ES
9C3178,"Foshan Huadian Intelligent Communications Teachnologies Co, Ltd",CN
F07960,"Apple, Inc",US
84E0F4,"Ray Co, Ltd",KR
0020FC,Matrox,CA
0050C2,"Base 2",AU
8C640B,"Beyond Devices d.o.o.",SI
0050C2,"Saia Burgess Controls AG",CH
B0B353,"Nanjing Yining Intelligent Tech Co, Ltd",CN
40D855,"inoage GmbH",DE
B4A2EB,"Qkm Tech(Dongguan)Co, Ltd",CN
