IP,Port,Type
185.255.47.199,1976,proxy
185.20.198.213,22800,proxy
212.126.96.154,8080,proxy
93.191.114.173,8080,proxy
185.136.242.188,8080,proxy
109.127.82.34,8080,proxy
62.201.217.194,8080,proxy
109.127.82.85,9090,proxy
185.255.47.199,1981,proxy
185.255.47.109,8080,proxy
93.191.114.174,8080,proxy
185.255.46.121,8000,proxy
212.126.107.2,31475,proxy
185.255.47.204,1981,proxy
109.127.82.66,8080,proxy
185.141.10.227,34082,proxy
93.180.221.205,8080,proxy
188.72.6.98,37083,proxy
93.180.219.125,8080,proxy
188.72.51.242,8080,proxy
188.72.51.246,8080,proxy
185.20.198.108,8080,proxy
195.7.10.174,3128,proxy
212.126.113.34,8080,proxy
45.81.144.51,8080,proxy
130.193.148.218,1080,proxy
62.201.213.163,8080,proxy
195.7.9.141,8080,proxy
195.7.10.141,8080,proxy
45.134.241.158,8080,proxy
45.81.144.135,9090,proxy
62.201.228.250,15421,proxy
62.201.228.250,45421,proxy
188.72.51.241,8080,proxy
37.238.132.158,54190,proxy
188.72.51.245,8080,proxy
109.224.6.142,1080,proxy
109.127.82.50,8080,proxy
212.126.103.10,6666,proxy
212.126.103.10,9999,proxy
212.126.103.10,7777,proxy
62.201.228.250,56798,proxy
185.89.91.134,8888,proxy
185.230.105.134,9991,proxy
185.230.105.134,8182,proxy
185.230.105.134,8080,proxy
185.98.157.39,55443,proxy
37.238.131.238,8080,proxy
195.85.218.66,8080,proxy
185.255.46.197,8080,proxy
193.162.35.34,8080,proxy
185.34.17.248,58137,proxy
62.201.226.186,8080,proxy
109.127.82.67,8080,proxy
109.127.82.42,8080,proxy
185.255.47.218,8080,proxy
62.201.210.134,42547,proxy
93.180.221.234,8080,proxy
185.255.44.22,8080,proxy
37.238.171.182,8080,proxy
185.104.159.246,8080,proxy
185.255.46.74,8080,proxy
185.128.38.246,8080,proxy
185.141.10.67,34082,proxy
212.126.102.142,31785,proxy
176.241.89.170,31921,proxy
109.224.55.10,34082,proxy
93.191.114.166,8080,proxy
93.91.196.242,9090,proxy
109.127.82.90,8080,proxy
185.206.175.244,8080,proxy
62.201.253.66,8080,proxy
185.138.122.138,8080,proxy
109.127.82.2,9090,proxy
62.201.222.243,8080,proxy
62.201.238.222,8080,proxy
91.192.6.43,8080,proxy
176.105.237.253,8080,proxy
62.201.238.180,8080,proxy
62.201.200.157,8080,proxy
185.255.47.206,8080,proxy
109.127.82.18,8080,proxy
62.201.214.82,8080,proxy
212.126.96.250,8080,proxy
45.143.29.254,8080,proxy
45.143.29.8,80,proxy
78.109.235.22,8080,proxy
31.25.138.23,8080,proxy
195.7.9.186,8081,proxy
176.105.237.173,8080,proxy
185.20.196.138,8080,proxy
185.95.184.102,8080,proxy
62.201.220.50,43031,proxy
195.7.9.214,8080,proxy
176.222.60.2,80,proxy
185.141.10.67,8080,proxy
195.7.8.234,8191,proxy
195.7.8.10,8080,proxy
195.7.8.10,80,proxy
185.206.126.10,8080,proxy
159.255.162.150,60008,proxy
195.7.8.234,8080,proxy
185.138.123.78,55337,proxy
62.201.238.242,8080,proxy
93.191.113.210,8080,proxy
185.255.46.141,8080,proxy
195.7.9.32,8080,proxy
92.119.62.108,8080,proxy
92.119.62.106,8080,proxy
185.54.165.105,80,proxy
109.127.82.3,9090,proxy
93.91.196.244,9090,proxy
195.7.8.32,8080,proxy
195.7.8.230,8080,proxy
212.126.122.118,8080,proxy
91.192.6.134,8080,proxy
185.54.165.105,443,proxy
185.255.46.57,8080,proxy
93.91.196.242,8080,proxy
91.192.4.149,8080,proxy
185.136.243.189,8080,proxy
95.170.219.50,8080,proxy
212.237.125.216,8080,proxy
194.127.108.118,8080,proxy
149.255.243.222,8080,proxy
62.201.228.138,8080,proxy
62.201.210.134,9999,proxy
89.46.207.214,6699,proxy
212.126.102.142,30101,proxy
188.72.6.98,55044,proxy
176.28.75.230,54657,proxy
85.194.250.138,25834,proxy
185.14.248.98,8080,proxy
185.255.46.74,3333,proxy
91.192.4.162,1999,proxy
109.224.55.10,38261,proxy
92.119.60.230,8080,proxy
91.192.7.36,53281,proxy
212.126.102.142,58695,proxy
91.192.4.162,8090,proxy
188.72.6.98,52873,proxy
188.72.5.203,8080,proxy
185.135.196.22,8080,proxy
188.72.6.98,49507,proxy
91.192.4.169,8090,proxy
45.81.144.4,8080,proxy
176.241.94.210,49388,proxy
105.112.191.250,3128,proxy
196.1.184.194,47646,proxy
41.76.155.26,80,proxy
155.93.96.210,8080,proxy
105.112.95.133,8080,proxy
197.157.219.169,48625,proxy
169.239.188.61,48807,proxy
102.67.9.146,8080,proxy
41.138.168.2,8080,proxy
154.113.19.30,8080,proxy
154.113.32.26,8080,proxy
197.255.253.210,58136,proxy
41.190.11.34,8080,proxy
105.112.134.70,8080,proxy
197.255.52.214,8081,proxy
41.76.155.134,8080,proxy
129.205.119.198,8080,proxy
105.112.83.165,8080,proxy
41.184.178.247,8080,proxy
212.100.84.10,8080,proxy
41.220.81.6,9050,proxy
160.119.125.25,8080,proxy
41.222.209.9,808,proxy
41.76.156.90,36496,proxy
41.75.85.22,8080,proxy
129.205.106.42,8080,proxy
197.211.35.194,8080,proxy
197.211.45.4,10000,proxy
41.184.92.24,8080,proxy
154.113.151.177,8080,proxy
41.138.166.6,8080,proxy
105.112.1.166,8080,proxy
212.100.86.174,8080,proxy
102.91.6.10,8080,proxy
154.113.69.154,8080,proxy
197.211.51.28,8080,proxy
197.157.218.67,6969,proxy
129.205.119.219,8080,proxy
197.211.35.195,8080,proxy
129.205.119.220,8080,proxy
197.210.143.182,36496,proxy
41.207.248.60,8080,proxy
154.113.32.17,8080,proxy
197.255.253.190,8080,proxy
41.73.5.190,80,proxy
41.73.5.190,8080,proxy
154.113.119.50,8080,proxy
102.67.19.132,8080,proxy
217.117.2.162,8080,proxy
197.210.141.218,8080,proxy
154.113.32.9,8080,proxy
197.255.209.34,8080,proxy
41.223.47.187,8080,proxy
105.235.202.202,30324,proxy
129.18.175.126,8080,proxy
154.113.174.71,3128,proxy
41.87.64.210,8080,proxy
105.112.84.137,8080,proxy
41.87.73.182,8080,proxy
129.205.127.30,8080,proxy
41.207.251.198,8080,proxy
154.113.20.158,8080,proxy
169.255.126.211,30640,proxy
197.211.51.28,3128,proxy
105.112.135.25,8080,proxy
41.184.178.100,8080,proxy
197.210.107.74,80,proxy
212.100.65.12,3129,proxy
102.140.96.180,8080,proxy
212.100.86.210,3129,proxy
197.159.70.200,8080,proxy
41.216.174.38,8080,proxy
80.248.15.86,4444,proxy
154.113.119.49,8080,proxy
169.255.237.162,8080,proxy
105.235.201.78,46939,proxy
41.76.80.120,8080,proxy
169.239.237.8,8080,proxy
41.79.66.106,43895,proxy
197.234.58.158,8080,proxy
169.239.51.218,8080,proxy
197.210.187.170,8080,proxy
197.210.106.94,8080,proxy
160.119.126.54,8080,proxy
129.18.159.86,8080,proxy
197.255.21.226,8080,proxy
154.113.98.190,8080,proxy
197.255.21.3,8080,proxy
197.255.22.24,8080,proxy
197.149.88.226,8080,proxy
196.223.112.141,8080,proxy
197.255.40.97,8080,proxy
197.255.36.57,8080,proxy
197.255.40.17,8080,proxy
197.255.22.244,8080,proxy
41.87.73.50,8080,proxy
154.113.119.54,8080,proxy
197.253.8.106,8080,proxy
41.78.82.180,8080,proxy
197.211.62.242,8080,proxy
160.226.32.5,80,proxy
197.253.8.109,8080,proxy
197.253.8.108,8080,proxy
154.113.98.235,80,proxy
41.76.158.86,8080,proxy
41.217.206.86,8080,proxy
129.205.98.54,8080,proxy
154.113.119.53,8080,proxy
154.118.55.42,8768,proxy
41.76.157.142,8080,proxy
197.210.153.126,42708,proxy
105.235.205.250,9999,proxy
197.234.35.82,53281,proxy
41.78.210.82,53281,proxy
197.210.191.131,9999,proxy
197.210.153.126,44515,proxy
105.235.202.186,38002,proxy
197.210.217.66,59744,proxy
196.1.184.6,55330,proxy
105.235.202.118,60977,proxy
197.255.162.162,45757,proxy
105.112.82.130,40464,proxy
197.255.253.210,55263,proxy
197.210.153.126,35483,proxy
41.242.57.34,38783,proxy
197.210.124.4,80,proxy
197.210.187.46,45753,proxy
196.1.184.6,52963,proxy
197.210.124.7,80,proxy
169.255.126.211,51847,proxy
197.210.217.66,56625,proxy
169.255.126.211,60129,proxy
155.93.108.170,37414,proxy
197.210.153.126,52634,proxy
41.79.66.106,52050,proxy
102.128.205.42,8080,proxy
197.210.124.5,80,proxy
197.210.129.142,80,proxy
197.234.56.1,8083,proxy
197.210.124.3,80,proxy
197.255.60.142,3128,proxy
197.255.38.56,8080,proxy
197.255.60.142,80,proxy
105.112.91.234,8080,proxy
154.118.52.242,53120,proxy
197.210.124.6,80,proxy
213.6.66.66,48687,proxy
193.19.97.154,8080,proxy
213.6.227.38,45730,proxy
213.6.204.153,49044,proxy
213.6.28.66,8080,proxy
5.133.30.222,8080,proxy
45.130.97.196,8080,proxy
213.6.199.94,49044,proxy
217.147.1.206,8080,proxy
5.133.27.61,3129,proxy
193.19.97.153,8080,proxy
217.147.0.58,8080,proxy
193.19.97.177,8080,proxy
206.62.137.72,8080,proxy
176.106.46.33,8080,proxy
217.147.1.192,8080,proxy
206.62.137.16,8080,proxy
5.133.24.25,8080,proxy
217.147.3.94,8080,proxy
193.19.97.176,8080,proxy
213.6.98.169,8080,proxy
188.161.150.70,8080,proxy
217.147.1.166,40998,proxy
206.62.137.73,8080,proxy
206.62.154.100,1981,proxy
213.6.65.30,8080,proxy
5.44.254.171,8080,proxy
178.214.67.191,8085,proxy
185.132.251.108,8080,proxy
213.6.174.10,8080,proxy
213.6.28.85,8080,proxy
213.6.28.92,8080,proxy
5.133.30.150,8080,proxy
213.6.144.58,8080,proxy
206.62.153.70,8080,proxy
45.130.99.18,8080,proxy
217.147.1.102,40998,proxy
188.225.252.205,81,proxy
