ipaddr,Type,provider
8.8.8.8,DO53,google
8.8.4.4,DO53,google
208.67.222.222,DO53,OpenDNS
149.112.112.11,DO53,Quad9
208.67.220.220,DO53,OpenDNS
1.1.1.1,DO53,Cloudflare
192.33.14.30,DO53,VeriSign
192.203.230.10,DO53,root-nasa
1.0.0.1,DO53,Cloudflare
40.90.4.205,DO53,Azure
192.112.36.4,DO53,root-dod
184.85.248.128,DO53,Akamai 
64.4.48.205,DO53,Azure
9.9.9.9,DO53,Quad9
9.9.9.11,DO53,Quad9
8.20.247.20,DO53,Comodo
216.239.36.10,DO53,google
216.239.38.10,DO53,google
216.239.32.10,DO53,google
4.2.2.2,DO53,google
156.154.70.1,DO53,UltraRecursive
176.103.130.130,DO53,AdGuard DNS
64.6.64.6,DO53,Verisign
64.6.65.6,DO53,Verisign
213.42.20.20,DO53,uae
13.239.157.177,DO53,OpenNIC
194.170.1.7,DO53,uae
91.239.100.100,DO53,UncensoredDNS
8.26.56.26,DO53,Comodo
77.88.8.7,DO53,Yandex
149.112.112.112,DO53,Quad10
